CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,-,-,-,-,"23,200.00","1,725",4.85,5.80,"1,875",0.85,4.85,17.87,"4,698",888,"1,623",
,-,-,-,-,-,-,-,-,-,-,"23,250.00",75,4.90,8.25,75,0.65,4.90,17.44,604,182,223,
,1,1,1,-,"1,586.50",-674.25,-,-,-,-,"23,300.00",900,4.65,23.00,150,0.95,4.75,16.90,692,105,182,
,-,-,-,-,-,-,-,-,-,-,"23,350.00",75,5.35,12.20,75,1.25,5.20,16.66,622,59,221,
,1,1,1,-,"1,500.00",-665.65,-,-,-,-,"23,400.00",150,5.70,26.00,150,1.35,6.00,16.54,"1,841",241,626,
,-,-,-,-,-,-,-,-,-,-,"23,450.00",75,7.10,-,-,3.00,7.90,16.79,297,53,129,
,14,9,13,-,"1,385.00",-247.00,-,-,-,-,"23,500.00","1,500",6.65,8.45,75,3.00,7.85,16.28,"11,676","1,627","3,767",
,1,1,1,-,"1,341.90",-682.70,-,-,-,-,"23,550.00",900,6.55,9.00,300,4.00,9.10,16.19,210,68,80,
,1,1,1,-,"1,289.40",-688.70,-,-,-,-,"23,600.00",750,7.40,11.00,75,2.55,8.30,15.44,"3,178",386,962,
,1,1,1,-,"1,240.15",-691.65,-,-,-,-,"23,650.00",750,7.50,10.40,300,4.00,10.45,15.57,398,-3,256,
,1,1,1,-,"1,188.45",-697.35,-,-,-,-,"23,700.00",300,9.50,12.20,975,3.45,9.90,14.90,"5,108",472,"1,116",
,3,2,2,-,"1,137.10",-250.10,-,-,-,-,"23,750.00",600,9.80,-,-,1.15,9.15,14.18,"1,479",211,213,
,7,7,42,-,"1,075.30",-262.00,-,-,-,-,"23,800.00",300,11.20,13.45,75,4.75,12.50,14.50,"10,579","1,117","2,211",
,2,2,2,-,"1,038.65",-242.60,-,-,-,-,"23,850.00","1,200",12.50,-,-,6.35,14.90,14.48,"3,060",254,415,
,3,2,2,-,988.60,-250.50,-,-,-,-,"23,900.00",225,14.90,15.90,75,6.10,15.15,13.97,"8,163","1,142","1,992",
,3,2,2,-,948.55,-241.65,-,-,-,-,"23,950.00",375,16.00,-,-,-,-,-,-,-,-,
,460,334,466,-,892.05,-237.95,225,885.95,896.00,75,"24,000.00",900,19.10,19.45,75,7.95,19.10,13.55,"32,940","3,487","7,113",
,2,1,1,-,853.05,-239.40,-,-,-,-,"24,050.00",75,21.00,23.35,750,10.10,21.95,13.40,"2,452",260,328,
,21,20,97,-,798.00,-249.70,75,769.90,821.10,75,"24,100.00",75,20.15,25.05,75,10.40,23.55,13.03,"9,089","1,078","2,229",
,4,3,3,-,752.80,-246.95,-,-,-,-,"24,150.00",375,21.05,28.85,300,11.30,26.45,12.81,"5,650","1,931","2,042",
,22,21,73,-,711.00,-239.80,225,679.75,704.80,75,"24,200.00",75,28.70,29.70,75,14.30,30.35,12.65,"25,221","2,221","4,849",
,20,19,105,-,669.95,-232.90,150,635.15,680.75,75,"24,250.00",150,32.55,36.55,750,-72.70,32.85,12.29,"2,875",635,635,
,50,45,136,-,617.00,-243.00,75,606.00,633.70,75,"24,300.00",75,36.65,37.25,75,17.40,37.60,12.12,"21,500","4,020","4,827",
,3,2,2,6.28,576.25,-219.85,525,528.50,580.15,150,"24,350.00","1,050",41.75,44.15,75,21.45,44.00,12.04,"7,439",503,971,
,93,83,473,5.68,526.05,-218.95,75,509.15,535.90,75,"24,400.00",75,49.10,50.15,75,25.00,50.30,11.87,"30,639","1,505","4,190",
,49,48,208,7.02,484.50,-216.80,600,460.85,493.55,225,"24,450.00","1,200",55.40,57.95,75,30.55,58.30,11.77,"8,555",600,"1,429",
,"1,988","1,599","3,860",6.97,438.55,-216.65,225,437.60,440.55,225,"24,500.00",75,65.50,65.90,75,33.10,65.55,11.54,"77,657","8,486","14,466",
,96,93,403,7.58,400.40,-208.05,75,398.50,405.10,75,"24,550.00",75,75.50,76.35,"1,200",38.60,75.30,11.42,"18,599",879,"1,663",
,"1,619","1,545","3,386",7.91,362.75,-203.55,225,358.80,364.10,225,"24,600.00",75,85.70,86.40,75,45.10,86.30,11.29,"55,629","2,564","6,202",
,156,155,"1,051",8.30,329.00,-198.30,75,324.40,327.95,75,"24,650.00",75,98.35,100.80,75,53.10,101.10,11.32,"12,591",952,"1,618",
,"1,981","1,627","7,506",8.22,291.00,-187.85,75,290.00,291.00,150,"24,700.00",75,114.15,115.95,75,59.15,114.25,11.15,"52,384","1,615","5,221",
,346,310,"2,796",8.50,261.05,-174.45,75,258.05,260.55,300,"24,750.00",150,129.95,133.90,75,68.80,133.10,11.22,"19,230",408,"1,548",
,"5,516","4,552","29,996",8.45,228.05,-167.90,75,228.05,229.75,75,"24,800.00",75,150.75,152.10,75,79.05,152.10,11.19,"66,680","3,062","7,395",
,"2,165","2,083","15,959",8.65,202.05,-153.90,75,200.10,202.40,375,"24,850.00",75,173.05,175.55,75,88.50,173.65,11.20,"30,392","1,390","2,989",
,"7,536","5,850","50,840",8.73,176.30,-145.10,150,174.70,176.20,150,"24,900.00",75,196.75,199.55,75,99.35,198.00,11.26,"71,997","3,082","6,735",
,"2,172","1,985","16,940",8.76,151.95,-135.55,75,152.50,153.30,300,"24,950.00",75,224.35,227.10,300,114.35,227.10,11.48,"19,831",582,"1,475",
,"15,472","10,165","88,594",8.79,130.20,-125.45,75,131.40,131.45,75,"25,000.00",75,253.05,256.00,75,123.20,253.25,11.44,"69,870","1,331","9,420",
,"2,701","1,488","14,213",9.12,116.05,-109.75,75,113.90,114.95,525,"25,050.00",75,286.00,288.70,225,136.10,286.05,11.66,"5,994",-72,"1,227",
,"10,602","4,382","48,938",9.14,98.40,-98.30,75,96.20,98.55,150,"25,100.00",75,317.10,320.00,75,147.40,317.95,11.74,"16,893","-1,049","4,704",
,"3,309","1,574","24,636",9.26,84.50,-87.75,150,83.35,84.40,750,"25,150.00",75,354.15,358.55,75,162.20,358.25,12.21,"2,522",-278,"1,285",
,"17,168","5,931","78,508",9.24,70.25,-77.95,150,70.15,71.65,75,"25,200.00",75,389.85,394.70,150,170.65,392.30,12.25,"11,130",-629,"6,172",
,"3,341","1,373","24,233",9.54,62.35,-64.95,75,60.40,61.75,75,"25,250.00",75,430.80,436.70,75,184.10,432.55,12.57,"1,783",-93,"1,401",
,"8,380","2,692","58,319",9.66,53.15,-54.55,"1,200",50.35,51.85,375,"25,300.00",75,472.40,485.90,675,196.60,477.95,13.17,"4,352",-157,"2,278",
,"1,972",735,"13,605",9.76,45.00,-47.80,75,42.95,45.25,"1,200","25,350.00",225,505.15,539.10,75,201.35,514.45,13.13,701,-157,176,
,"6,636","2,882","35,261",9.79,37.15,-40.55,375,36.85,38.65,"1,200","25,400.00",75,548.05,575.65,75,212.65,561.40,13.74,"2,382",-421,569,
,"2,239",777,"10,758",10.04,32.70,-32.60,300,31.10,33.95,"1,125","25,450.00",150,592.25,605.00,75,214.70,597.70,13.55,306,20,94,
,"12,921","4,331","57,263",10.17,27.80,-27.20,150,27.25,28.30,750,"25,500.00",75,649.00,657.60,75,220.85,648.05,14.33,"2,330",-465,827,
,"1,897",886,"10,585",10.21,22.80,-22.85,225,20.25,25.85,750,"25,550.00",150,679.85,719.55,75,217.15,680.00,13.62,39,2,49,
,"7,205","1,275","29,828",10.51,20.60,-17.75,75,20.00,21.60,75,"25,600.00",75,723.20,761.85,75,231.70,740.65,15.21,822,-364,397,
,"1,751",428,"8,082",10.76,18.30,-13.45,75,17.15,18.30,75,"25,650.00",-,-,864.40,900,222.75,781.90,15.18,8,-7,26,
,"4,992",913,"21,652",10.74,14.65,-12.20,750,14.50,15.40,75,"25,700.00",75,829.75,860.70,75,232.20,827.00,15.42,141,23,212,
,"1,832",492,"6,882",11.19,14.20,-8.25,75,12.00,14.05,150,"25,750.00",-,-,963.95,825,248.00,868.00,15.21,18,7,11,
,"6,794",963,"21,640",11.25,11.80,-7.30,600,11.20,12.35,75,"25,800.00",75,908.90,953.90,75,239.45,930.00,17.02,152,20,163,
,766,193,"5,059",11.62,11.15,-4.80,75,9.00,11.20,"2,700","25,850.00",-,-,-,-,360.05,972.10,16.91,7,5,6,
,"4,575",396,"14,906",11.49,8.50,-5.00,525,8.25,9.80,"1,800","25,900.00",75,"1,004.80","1,054.70",75,200.30,"1,029.00",18.23,53,12,17,
,512,282,"6,713",11.65,7.35,-4.55,"1,800",7.30,9.15,750,"25,950.00",-,-,-,-,233.50,"1,068.05",17.74,1,1,3,
,"12,009","2,313","31,796",11.99,6.95,-3.65,75,6.90,7.20,75,"26,000.00",150,"1,120.70","1,140.00",75,240.15,"1,120.00",18.57,90,18,133,
,-,-,-,-,-,-,75,5.00,10.00,900,"26,050.00",-,-,-,-,251.70,"1,169.20",19.09,2,2,3,
,"1,109","1,109","3,062",12.74,6.50,-297.75,75,5.10,6.40,300,"26,100.00",75,"1,200.45","1,251.40",75,248.80,"1,218.30",19.60,26,6,11,
,503,503,773,13.24,6.70,-281.35,"1,500",3.70,7.45,225,"26,150.00",-,-,-,-,247.25,"1,267.90",20.16,1,1,2,
,"3,872","1,330","10,559",13.18,5.30,-0.95,75,3.60,5.60,300,"26,200.00",75,"1,294.25",-,-,250.75,"1,314.50",20.35,3,3,4,
,626,56,769,13.92,6.15,0.80,75,3.35,15.10,"1,125","26,250.00",-,-,-,-,260.90,"1,373.45",21.99,3,3,5,
,338,338,898,13.07,3.30,-240.00,"1,800",3.05,4.65,450,"26,300.00",-,-,-,-,257.60,"1,423.00",22.53,1,1,3,
,-,-,-,-,-,-,75,2.80,4.35,150,"26,350.00",-,-,-,-,260.85,"1,472.80",23.10,1,1,2,
,769,16,"1,672",14.29,4.10,0.25,"3,150",2.90,4.45,225,"26,400.00",-,-,-,-,252.65,"1,513.95",22.60,1,1,2,
,78,53,435,13.94,2.80,-0.65,"1,275",2.40,4.50,900,"26,450.00",-,-,-,-,246.35,"1,557.50",22.29,1,1,3,
,"2,415",154,"4,072",14.61,3.25,-0.10,600,2.90,3.25,75,"26,500.00",-,-,-,-,242.60,"1,613.80",23.71,8,5,17,
,107,-35,219,15.06,3.35,0.05,"1,500",2.00,4.85,900,"26,550.00",-,-,-,-,250.95,"1,661.25",23.93,1,1,2,
,354,-23,752,15.51,3.45,0.70,450,2.20,3.45,75,"26,600.00",-,-,-,-,253.75,"1,713.55",24.80,1,1,2,
,14,6,11,15.31,2.60,-0.15,"1,500",1.70,3.80,600,"26,650.00",-,-,-,-,-,"1,509.40",-,-,-,1,
,134,-,402,15.18,2.00,-0.55,450,2.00,2.85,300,"26,700.00",-,-,-,-,249.55,"1,808.95",25.26,6,6,7,
,143,-,21,15.85,2.35,-0.55,"1,800",1.55,3.85,600,"26,750.00",-,-,-,-,-,"1,609.10",-,-,-,1,
,192,19,360,16.69,2.95,0.80,900,1.85,3.15,450,"26,800.00",-,-,-,-,-,"1,657.80",-,-,-,1,
,1,-,-,-,3.35,-,"1,500",1.50,3.30,600,"26,850.00",-,-,-,-,-,"1,708.65",-,-,-,1,
,145,35,142,16.76,2.15,0.15,525,2.00,2.15,975,"26,900.00",-,-,-,-,-,"1,758.30",-,-,-,1,
,88,56,79,17.43,2.50,0.10,"1,500",1.55,2.50,75,"26,950.00",-,-,-,-,-,"1,808.00",-,-,-,1,
,"2,386",28,"2,023",17.21,1.90,-,"2,625",1.90,2.20,225,"27,000.00",-,-,-,-,355.20,"2,107.20",28.21,10,10,11,
,34,-,12,17.87,2.20,-0.10,825,1.75,2.70,"1,500","27,050.00",-,-,-,-,-,"1,907.45",-,-,-,1,
,183,16,213,17.80,1.80,-,675,1.80,2.00,975,"27,100.00",-,-,-,-,-,"1,957.15",-,-,-,1,
,65,3,21,19.29,3.00,1.25,75,1.65,2.55,"1,500","27,150.00",-,-,-,-,-,"2,006.90",-,-,-,1,
,639,98,402,18.31,1.65,0.05,"1,350",1.65,1.95,300,"27,200.00",-,-,-,-,-,"2,056.60",-,-,-,1,
,69,29,62,19.80,2.75,1.10,75,1.70,2.90,900,"27,250.00",-,-,-,-,-,"2,110.60",-,-,-,1,
